"County","Ballot Applications Approved","Ballots Returned","Democratic Applications Approved","Republican Applications Approved","Other Applications Approved","Democratic Ballots Returned","Republican Ballots Returned","Other Ballots Returned","Percent Returned"
"ADAMS",19874,17491,7396,9973,2505,6558,8858,2075,88.01
"ALLEGHENY",257805,219102,167303,59847,30655,144712,50545,23845,84.99
"ARMSTRONG",7902,7189,3058,4161,683,2804,3788,597,90.98
"BEAVER",25752,23294,13847,9165,2740,12697,8281,2316,90.46
"BEDFORD",6279,5863,1733,4011,535,1638,3747,478,93.37
"BERKS",58231,47540,29510,20961,7760,24956,17145,5439,81.64
"BLAIR",18460,16631,6404,10284,1772,5789,9355,1487,90.09
"BRADFORD",6857,6121,2376,3790,691,2163,3352,606,89.27
"BUCKS",151149,131419,76682,52910,21557,68221,45608,17590,86.95
"BUTLER",34916,31377,14255,16546,4115,12990,14880,3507,89.86
"CAMBRIA",16825,15214,8300,7136,1389,7578,6456,1180,90.42
"CAMERON",600,563,190,358,52,183,335,45,93.83
"CARBON",8636,6949,4066,3499,1071,3434,2730,785,80.47
"CENTRE",26258,23301,13748,8710,3800,12335,7811,3155,88.74
"CHESTER",120048,102701,61728,37883,20437,53709,32570,16422,85.55
"CLARION",4331,3947,1496,2439,396,1373,2226,348,91.13
"CLEARFIELD",8343,7624,3383,4209,751,3135,3845,644,91.38
"CLINTON",4478,4117,1797,2218,463,1677,2051,389,91.94
"COLUMBIA",7728,6723,3469,3305,954,3086,2885,752,87
"CRAWFORD",10912,9894,4455,5422,1035,4101,4902,891,90.67
"CUMBERLAND",47227,42664,21018,19419,6790,19117,17767,5780,90.34
"DAUPHIN",45881,38061,24640,14737,6504,20768,12525,4768,82.96
"DELAWARE",99951,83628,58165,28219,13567,49457,23670,10501,83.67
"ELK",3713,3380,1659,1737,317,1534,1577,269,91.03
"ERIE",42292,34445,24755,13037,4500,20926,10301,3218,81.45
"FAYETTE",15738,13737,8733,5783,1222,7910,4879,948,87.29
"FOREST",644,604,241,335,68,226,318,60,93.79
"FRANKLIN",22370,20407,7575,12008,2787,6909,11129,2369,91.22
"FULTON",1486,1345,343,988,155,310,904,131,90.51
"GREENE",3808,3354,2014,1506,288,1822,1308,224,88.08
"HUNTINGDON",4449,3842,1617,2467,365,1428,2124,290,86.36
"INDIANA",10157,9202,4542,4558,1057,4172,4136,894,90.6
"JEFFERSON",4977,4525,1582,2952,443,1456,2679,390,90.92
"JUNIATA",2341,2157,668,1413,260,609,1310,238,92.14
"LACKAWANNA",34559,30544,21885,9298,3376,19877,7947,2720,88.38
"LANCASTER",74871,63917,33192,30531,11148,29194,25869,8854,85.37
"LAWRENCE",12078,11016,5629,5313,1136,5206,4866,944,91.21
"LEBANON",21095,18083,8302,10044,2749,7145,8770,2168,85.72
"LEHIGH",64836,54614,34893,20384,9559,30026,17284,7304,84.23
"LUZERNE",49677,39248,27641,17007,5029,22585,13183,3480,79.01
"LYCOMING",13681,12332,4974,7214,1493,4475,6584,1273,90.14
"McKEAN",4152,3738,1450,2232,470,1325,2014,399,90.03
"MERCER",15343,13864,6730,7054,1559,6126,6443,1295,90.36
"MIFFLIN",5400,4762,1745,3138,517,1584,2754,424,88.19
"MONROE",31928,27804,16708,10001,5219,14628,8883,4293,87.08
"MONTGOMERY",193139,165408,113920,51932,27287,99043,44423,21942,85.64
"MONTOUR",2903,2608,1240,1264,399,1118,1159,331,89.84
"NORTHAMPTON",65874,57435,34641,21062,10171,30568,18588,8279,87.19
"NORTHUMBERLAND",9810,8683,3869,4829,1112,3462,4319,902,88.51
"PERRY",5711,5223,1940,3219,552,1804,2955,464,91.46
"PHILADELPHIA",237680,185255,188287,20978,28415,150256,15582,19417,77.94
"PIKE",16328,14787,6071,7388,2869,5517,6758,2512,90.56
"POTTER",1974,1811,537,1257,180,496,1148,167,91.74
"SCHUYLKILL",16679,14447,6822,7980,1877,6042,6937,1468,86.62
"SNYDER",4978,4288,1658,2819,501,1430,2472,386,86.14
"SOMERSET",8049,7344,2902,4465,682,2699,4070,575,91.24
"SULLIVAN",848,773,304,458,86,278,418,77,91.16
"SUSQUEHANNA",5754,5224,2021,3111,622,1856,2839,529,90.79
"TIOGA",4728,4264,1481,2727,520,1359,2449,456,90.19
"UNION",6023,5496,2414,2877,732,2199,2670,627,91.25
"VENANGO",6316,5654,2553,3104,659,2312,2775,567,89.52
"WARREN",4921,4412,1986,2311,624,1802,2087,523,89.66
"WASHINGTON",32744,29060,16766,12524,3454,15253,10973,2834,88.75
"WAYNE",9842,8992,3335,5156,1351,3096,4690,1206,91.36
"WESTMORELAND",59872,53994,29600,24262,6010,27128,21742,5124,90.18
"WYOMING",3689,3391,1450,1862,377,1357,1711,323,91.92
"YORK",73459,61110,31438,32058,9963,26754,26846,7510,83.19
